arrangement_id,update_datetime,requester_staff_id,wfh_date,wfh_type,approval_status,approving_officer,reason_description,batch_id
1,2024-10-14 09:23:45,140025,2024-11-07,pm,approved,140894,WFH request for personal matters,
2,2024-10-15 14:35:22,140886,2024-12-03,full,pending,140001,WFH request for productivity,
3,2024-10-16 11:12:58,140895,2024-10-29,am,rejected,140008,WFH request for family commitment,
4,2024-10-17 16:45:33,140002,2024-11-22,full,withdrawn,151408,WFH request for personal matters,
5,2024-10-18 10:09:17,140936,2024-12-11,pm,approved,140894,WFH request for productivity,
6,2024-10-19 13:27:41,140004,2024-11-15,am,pending,140001,WFH request for family commitment,
7,2024-10-20 15:56:09,140880,2024-12-07,full,approved,140008,WFH request for personal matters,
8,2024-10-21 08:42:55,140892,2024-10-31,pm,rejected,151408,WFH request for productivity,
9,2024-10-22 12:18:37,140890,2024-11-26,am,withdrawn,140894,WFH request for family commitment,
10,2024-10-23 17:03:24,140889,2024-12-14,full,approved,140001,WFH request for personal matters,
11,2024-10-24 09:51:46,140003,2024-11-18,pm,pending,140008,WFH request for productivity,
12,2024-10-25 14:39:12,140881,2024-12-05,am,rejected,151408,WFH request for family commitment,
13,2024-10-26 11:25:58,140887,2024-11-02,full,withdrawn,140894,WFH request for personal matters,
14,2024-10-27 16:14:33,140893,2024-12-09,pm,approved,140001,WFH request for productivity,
15,2024-10-28 10:47:29,140078,2024-11-20,am,pending,140008,WFH request for family commitment,
16,2024-10-29 13:36:05,140102,2024-12-01,full,rejected,151408,WFH request for personal matters,
17,2024-10-30 15:22:51,140115,2024-11-13,pm,withdrawn,140894,WFH request for productivity,
18,2024-10-31 08:59:37,140525,2024-11-28,am,approved,140001,WFH request for family commitment,
19,2024-11-01 12:43:19,140736,2024-12-16,full,pending,140008,WFH request for personal matters,
20,2024-11-02 17:08:45,140878,2024-11-10,pm,rejected,151408,WFH request for productivity,